id,title_clean,title_raw,company_name,naics_2022_6,naics_2022_6_name,soc_5,soc_5_name,min_years_experience,max_years_experience,min_edulevels_name,max_edulevels_name,employment_type_name,remote_type_name,salary,salary_from,salary_to,original_pay_period,city_name,state_name,county_name,msa_name,skills_name,specialized_skills_name,software_skills_name,posted,expired,duration
159111,Analyst/Consultant - AfterSales,Analyst/Consultant - AfterSales,Urban Science,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Postsecondary nondegree award,Master's degree,Contract,Hybrid,,,,,Texas,United States,,,"[""Advanced Analytics"", ""Analytical Thinking"", ""Analytics"", ""Applied Science""]","[""Advanced Analytics"", ""Analytics"", ""Applied Science""]",[],2026-06-05,2027-06-05,365
171858,Financial Analyst - Settlements & Energy Analysis,Financial Analyst - Settlements & Energy Analysis,City Utilities Of Springfield,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Postsecondary nondegree award,Master's degree,Contract,Unknown,USD 1618.87 - 2023.6 per WEEK,1618.87,2023.60,weekly,Missouri,United States,,,"[""Accounting"", ""Accounting Software"", ""Accounting Systems"", ""Analytical Skills"", ""Artificial Intelligence"", ""Bidding"", ""Billing"", ""Broadband"", ""Budgeting""]","[""Accounting"", ""Accounting Software"", ""Accounting Systems"", ""Artificial Intelligence"", ""Bidding"", ""Billing"", ""Broadband""]",[],2026-06-05,,
177247,Legal Analyst - Labor & Employment,Legal Analyst - Labor & Employment,Dick's Sporting Goods,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,USD 67100 - 109000 per YEAR,67100.00,109000.00,annual,New York,United States,,,"[""Billing"", ""Case Management""]","[""Billing"", ""Case Management""]",[],2026-06-05,,
179013,Military Operations Analyst - Mid,Military Operations Analyst - Mid (OCSMD),Mano Lani LLC,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Full Time,On-site,USD 100000 - 113000 per YEAR,100000.00,113000.00,annual,Colorado,United States,Fremont County,,,,,2026-06-05,2026-07-06,31
196135,Business Intelligence Analyst,Business Intelligence Analyst,Cummins Talent Acquisition,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Bachelor's degree,Full Time,On-site,,,,,MI,United States,,,"[""Action Oriented"", ""Ad Hoc Analysis"", ""Analytics"", ""Business Decisions"", ""Business Intelligence""]","[""Ad Hoc Analysis"", ""Analytics"", ""Business Decisions"", ""Business Intelligence""]",[],2026-06-05,,
200256,Marketing Research & Analytics Intern,Marketing Research & Analytics Intern,USF University of South Florida,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,Internship,On-site,,,,,FL,United States,,,"[""Analytics"", ""Audience Analysis"", ""Business Analytics""]","[""Analytics"", ""Audience Analysis"", ""Business Analytics""]",[],2026-06-05,,
215706,Associate Data Science Analyst - Lutgens Lab,Associate Data Science Analyst - Lutgens Lab - Temporary part time,Mayo Career Site US,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Bachelor's degree,"Part Time, Temporary",Unknown,,,,,MN,United States,,,"[""Analytical Procedures"", ""Analytical Skills"", ""Analytics"", ""Business Problems""]","[""Analytical Procedures"", ""Analytics"", ""Business Problems""]",[],2026-06-05,,
216139,Senior Data Visualization and Augmented Analytics Engineer,Senior Data Visualization and Augmented Analytics Engineer,Navy Federal Credit Union,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Postsecondary nondegree award,Master's degree,Full Time,Unknown,,,,,VA,United States,,,"[""Analytics"", ""Automation"", ""Azure Data Lake"", ""Banking"", ""Big Data"", ""Big Data Analytics"", ""Business Decisions""]","[""Analytics"", ""Automation"", ""Azure Data Lake"", ""Banking"", ""Big Data"", ""Big Data Analytics"", ""Business Decisions""]",[],2026-06-05,,
216288,Senior Data Scientist - Full Stack,Senior Data Scientist - Full Stack,WM,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,,,,,TX,United States,,,"[""Analytical Skills"", ""Analytics"", ""Applied Mathematics"", ""Business Operations""]","[""Analytics"", ""Applied Mathematics"", ""Business Operations""]",[],2026-06-05,,
402970,Sponsored Research Business Analyst,Sponsored Research Business Analyst,University Of Illinois,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Urbana,Illinois,,,"[""Billing"", ""Business Operations"", ""Business Systems""]","[""Billing"", ""Business Operations"", ""Business Systems""]",[],2026-06-05,,
404786,Sr. Analyst Supply Chain Control Tower,Sr. Analyst Supply Chain Control Tower,Jobs.advanceautoparts.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Raleigh,North Carolina,Wake County,,"[""Analytics"", ""Business Continuity""]","[""Analytics"", ""Business Continuity""]",[],2026-06-05,,
404942,"Structured Trust and Analytics , Senior Associate","Structured Trust and Analytics (CLO Team), Senior Associate",Careers.statestreet.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boston,Massachusetts,,,"[""Analytics""]","[""Analytics""]",[],2026-06-05,,
405059,Card Fraud Data Scientist II,Card Fraud Data Scientist II,Careers.truist.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Atlanta,Georgia,Fulton County,,"[""Analytics""]","[""Analytics""]",[],2026-06-05,,
405910,Lead Operations Research Analyst - TS/SCI - CI Poly,Lead Operations Research Analyst - TS/SCI - CI Poly,Globaldllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Bachelor's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV","[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,
406124,Operations Research Analyst - TS/SCI,Operations Research Analyst - TS/SCI,Globaldllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Bachelor's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV","[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,
402718,Program Control Analyst Senior,Program Control Analyst Senior,Jobs.baesystems.com,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boulder,Colorado,Boulder County,,,,,2026-06-05,,
74544,IT Field Support Analyst,IT Field Support Analyst,Diocese Of Austin,611400,Business Schools and Computer and Management Training,21-2011,Clergy,,,High school diploma or equivalent,Associate's degree,Full Time,Remote,,,,,Texas,United States,,,"[""Audiovisual Equipment"", ""Business Software""]","[""Audiovisual Equipment"", ""Business Software""]",[],2026-06-05,,
74480,Operations Analyst,Operations Analyst,National Airlines,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,High school diploma or equivalent,Associate's degree,Full Time,Unknown,,,,,Florida,United States,,,"[""Accounting"", ""Administrative Support"", ""Analytics"", ""Archives"", ""Aviation"", ""Career Development""]","[""Accounting"", ""Administrative Support"", ""Analytics"", ""Archives"", ""Aviation"", ""Career Development""]",[],2026-06-05,,
113273,GIS Analyst,GIS Analyst,Canyon County Sheriff's Office,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,High school diploma or equivalent,Associate's degree,Contract,Unknown,USD 29.73 - 35.29 per HOUR,29.73,35.29,hourly,Idaho,United States,,,"[""Analytical Thinking"", ""Automation""]","[""Automation""]",[],2026-06-05,,
105971,Business Central Functional Analyst,Business Central Functional Analyst,"Infinite Electronics, Inc.",611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Contract,Unknown,USD 100000 - 140000 per YEAR,100000.00,140000.00,annual,Texas,United States,,,"[""Business Operations"", ""Business Requirements""]","[""Business Operations"", ""Business Requirements""]",[],2026-06-05,,
104616,External Elements Aviation/Combined Aviation/Combined Air Operations Center Analyst,External Elements (EXELMS) Aviation/Combined Aviation/Combined Air Operations Center (CAOC) Analyst,Corps Solutions,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Associate's degree,Master's degree,Full Time,On-site,,,,,Virginia,United States,,,"[""Aviation""]","[""Aviation""]",[],2026-06-05,,
102377,Military Processing Analyst,Military Processing Analyst,Covista,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Postsecondary nondegree award,Bachelor's degree,Full Time,Hybrid,USD 17.15 - 27.36 per HOUR,17.15,27.36,hourly,Illinois,United States,,,"[""Account Reconciliation"", ""Accounts Receivable"", ""Analytical Skills"", ""Billing""]","[""Account Reconciliation"", ""Accounts Receivable"", ""Billing""]",[],2026-06-05,,
102274,Service Desk Analyst,Service Desk Analyst,National Heritage Academies,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Full Time,Remote,,,,,Michigan,United States,,,,,,2026-06-05,,
97814,Senior Data Scientist - Full Stack,Senior Data Scientist - Full Stack,WM,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,,,,,Texas,United States,,,"[""Analytical Skills"", ""Analytics"", ""Applied Mathematics"", ""Business Operations""]","[""Analytics"", ""Applied Mathematics"", ""Business Operations""]",[],2026-06-05,,
97562,Military Student Finance Analyst,Military Student Finance Analyst,Covista,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Postsecondary nondegree award,Bachelor's degree,Full Time,Hybrid,USD 17.15 - 27.36 per HOUR,17.15,27.36,hourly,Illinois,United States,,,"[""Account Reconciliation"", ""Accounts Receivable"", ""Analytical Skills"", ""Billing""]","[""Account Reconciliation"", ""Accounts Receivable"", ""Billing""]",[],2026-06-05,,
95403,Corporate Compliance Analyst,Corporate Compliance Analyst,D.r. Horton,611400,Business Schools and Computer and Management Training,11-9021,Construction Managers,,,High school diploma or equivalent,Bachelor's degree,Full Time,Unknown,,,,,Texas,United States,,,"[""Artificial Intelligence""]","[""Artificial Intelligence""]",[],2026-06-05,,
91124,Rates and Regulatory Financial Analyst 3,Rates and Regulatory Financial Analyst 3,CoServ,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,High school diploma or equivalent,Master's degree,Full Time,Unknown,,,,,Texas,United States,,,"[""Accounting"", ""Accounting Software"", ""Business Administration"", ""Business Intelligence""]","[""Accounting"", ""Accounting Software"", ""Business Intelligence""]",[],2026-06-05,,
89235,Lead Operations Research Analyst - TS/SCI - CI Poly,Lead Operations Research Analyst - TS/SCI - CI Poly,"Global Dimensions, LLC",611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Bachelor's degree,Bachelor's degree,Full Time,Unknown,,,,,District of Columbia,United States,,,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,
89128,Operations Research Analyst - TS/SCI,Operations Research Analyst - TS/SCI,"Global Dimensions, LLC",611400,Business Schools and Computer and Management Training,15-2031,Operations Research Analysts,,,Bachelor's degree,Bachelor's degree,Full Time,Unknown,,,,,District of Columbia,United States,,,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,
400157,"Vice President, Business Analyst - Capital Markets Operations","Vice President, Business Analyst - Capital Markets Operations",CréDit Agricole CIB,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': 'YEAR', 'summary': ''}",,,annual,New York,New York,New York County,"New York-Newark-Jersey City, NY-NJ","[""Business Requirements"", ""Capital Markets""]","[""Business Requirements"", ""Capital Markets""]",[],2026-06-05,,
215660,Senior Data Scientist,Senior Data Scientist (Operations),Function,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,Full Time,Remote,,,,,,,,,"[""Analytics"", ""Bioinformatics"", ""Biostatistics""]","[""Analytics"", ""Bioinformatics"", ""Biostatistics""]",[],2026-06-06,,
399581,Lead Analyst of Advanced Analytics,Lead Analyst of Advanced Analytics,Airbnb,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Doctoral or professional degree,Full Time,Unknown,"USD 164,000 - 191,000 Yearly",164000.00,191000.00,annual,,,,,"[""Acting"", ""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Business Analytics"", ""Causal Inference""]","[""Acting"", ""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Business Analytics"", ""Causal Inference""]",[],2026-06-06,,
399502,Staff Data Scientist,Staff Data Scientist (Product Analytics),Function,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': 'YEAR', 'summary': ''}",,,annual,,,,,"[""Analytics"", ""Bioinformatics"", ""Biostatistics""]","[""Analytics"", ""Bioinformatics"", ""Biostatistics""]",[],2026-06-06,,
395924,Corp Bankng Credit Analyst I,Corp Bankng Credit Analyst I,Hcgn.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-2041,Credit Analysts,,,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,,,"[""Account Management"", ""Banking"", ""Banking Administration""]","[""Account Management"", ""Banking"", ""Banking Administration""]",[],2026-06-08,,
73882,FINANCIAL MANAGEMENT ANALYST,FINANCIAL MANAGEMENT ANALYST,U.S. Marine Corps,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Doctoral or professional degree,,Unknown,Per Year,,,annual,Marine Corps Air Station Miramar,California,,,,,,2026-04-24,2027-04-23,364
187499,Senior Human Resources Analyst - Training and Development Coordinator,Senior Human Resources Analyst - Training and Development Coordinator,MRA Recruiting Services,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Postsecondary nondegree award,Master's degree,Full Time,On-site,,,,,WI,United States,,,"[""Adult Learning Principles""]","[""Adult Learning Principles""]",[],2026-05-07,,
3290,Online Visiting Professor of Data Analytics,Online Visiting Professor of Data Analytics,DeVry University & Its Keller Graduate School Of Management International,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Doctoral or professional degree,"Part Time, Temporary",Remote,$22.00 - $23.50 an hour,22.00,23.50,hourly,,,,,"[""Analytics"", ""Business Intelligence""]","[""Analytics"", ""Business Intelligence""]",[],2026-05-15,,
3658,"Data Analyst, Data & Analytics - Med USMPD","Data Analyst, Data & Analytics - Med USMPD",Cardinal Health,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Bachelor's degree,,Unknown,"$80,900 - $115,500 a year",80900.00,115500.00,annual,,,,,"[""Alteryx"", ""Analytics"", ""Automation"", ""Business Analytics"", ""Business Decisions"", ""Business Intelligence"", ""Business Problems"", ""Business Process""]","[""Alteryx"", ""Analytics"", ""Automation"", ""Business Analytics"", ""Business Decisions"", ""Business Intelligence"", ""Business Problems"", ""Business Process""]",[],2026-05-15,,
206894,Cybersecurity Supply Chain Risk Management Analyst,Cybersecurity Supply Chain Risk Management Analyst,Maania Consultancy Services,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,,,Associate's degree,Bachelor's degree,Full Time,Unknown,,,,,DC,United States,,,"[""Business Expansion""]","[""Business Expansion""]",[],2026-05-27,,
186542,Human Resources Information System & Records Analyst,Human Resources Information System & Records Analyst,POLK_BoCC_Career Site,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Postsecondary nondegree award,Associate's degree,Full Time,Unknown,$68.8k - $75.7k per year,68800.00,75700.00,annual,FL,United States,,,"[""Business Administration"", ""Business Systems""]","[""Business Systems""]",[],2026-05-28,,
203891,Senior Program & Risk Analyst,Senior Program & Risk Analyst,StandardAero,611400,Business Schools and Computer and Management Training,41-9012,Models,,,Associate's degree,Associate's degree,Full Time,Unknown,,,,,TX,United States,,,"[""Aviation""]","[""Aviation""]",[],2026-05-29,,
436883,"Analyst, Cadence and Prelude - III Epic","Analyst, Cadence and Prelude - III Epic",Hdox.fa.us6.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Postsecondary nondegree award,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Schaumburg,Illinois,,,"[""Billing""]","[""Billing""]",[],2026-05-29,,
432987,"Strategy & Analytics Advisor, C&CE - Evernorth","Strategy & Analytics Advisor, C&CE - Evernorth",Jobs.thecignagroup.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Bachelor's degree,Bachelor's degree,,Remote,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Remote,,,"[""Analytics"", ""Business Case""]","[""Analytics"", ""Business Case""]",[],2026-05-30,,
432220,Data Analyst,Data Analyst Internship,Connectprep,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,Internship,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boston,Massachusetts,,,"[""Algorithms"", ""Analytics"", ""Applied Mathematics"", ""Business Intelligence"", ""Business Operations""]","[""Algorithms"", ""Analytics"", ""Applied Mathematics"", ""Business Intelligence"", ""Business Operations""]",[],2026-05-31,,
431832,Lead Data Scientist,Lead Data Scientist,Middesk,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,Full Time,Unknown,"USD 210,000 - 250,000 Yearly",210000.00,250000.00,annual,San,Francisco,,,"[""Automation""]","[""Automation""]",[],2026-05-31,,
428792,"Senior Analyst, Provider Data Management","Senior Analyst, Provider Data Management (SQL/ QNXT)",Hckd.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,,,"[""Business Administration"", ""Business Analysis"", ""Business Objectives""]","[""Business Analysis""]",[],2026-06-01,,
428874,Sr Financial Analyst - Operations,Sr Financial Analyst - Operations,Ejql.fa.us6.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Bachelor's degree,Bachelor's degree,,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,,,,,,2026-06-01,,
431509,Management Analyst III-503678,Management Analyst III-503678,Dnigov,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,High school diploma or equivalent,Associate's degree,Contract,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV","[""Analytical Skills"", ""Appraisals"", ""Business Administration""]","[""Appraisals""]",[],2026-06-01,,
425634,Planning Analyst,Planning Analyst,Thewonderfulcompany,611400,Business Schools and Computer and Management Training,11-9021,Construction Managers,,,Associate's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Del Rey,California,,,"[""Analytical Skills""]",[],[],2026-06-01,,
424557,Business Analytics Lead Sr,Business Analytics Lead Sr,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pittsburgh,Pennsylvania,Allegheny County,,"[""Analytics"", ""Business Analytics"", ""Business Intelligence""]","[""Analytics"", ""Business Analytics"", ""Business Intelligence""]",[],2026-06-02,,
424569,Portfolio Analytics and Strategy Specialist - Power Platform,Portfolio Analytics and Strategy Specialist - Power Platform,Careers.pnc.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,,,Bachelor's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Pittsburgh,Pennsylvania,Allegheny County,,"[""Analytics"", ""Business Strategies""]","[""Analytics"", ""Business Strategies""]",[],2026-06-02,,
420502,Learning Analytics Service Manager,Learning Analytics Service Manager,Nyu,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Associate's degree,Doctoral or professional degree,Contract,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,New York County,"New York-Newark-Jersey City, NY-NJ","[""Analytics""]","[""Analytics""]",[],2026-06-02,,
420456,Financial Analyst - Chemistry,Financial Analyst - Chemistry,Nyu,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,New York,New York,New York County,"New York-Newark-Jersey City, NY-NJ","[""Budget Management""]","[""Budget Management""]",[],2026-06-02,,
419169,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Houston,Texas,,,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,
419167,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Antonio,Texas,Bexar County,,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,
419165,Senior Procurement Analyst,Senior Procurement Analyst,Kipp,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Associate's degree,Contract,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Austin,Texas,Travis County,,"[""Accounts Payable""]","[""Accounts Payable""]",[],2026-06-02,,
74023,Procurement Analyst,Procurement Analyst,U.S. Coast Guard,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Postsecondary nondegree award,Master's degree,Contract,Unknown,Per Year,,,annual,Washington,District of Columbia,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV","[""Artificial Intelligence"", ""Business Case""]","[""Artificial Intelligence"", ""Business Case""]",[],2026-06-03,2026-06-15,12
218035,Cannabis Data Analyst Administrator,Cannabis Data Analyst Administrator,Phat Panda,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,High school diploma or equivalent,Master's degree,Full Time,Unknown,From $35.6k per year,35600.00,35600.00,annual,WA,United States,,,"[""Basecamp"", ""Cannabis""]","[""Basecamp"", ""Cannabis""]",[],2026-06-03,,
418175,Senior ATGPAC Training Requirements and Policy Analyst,Senior ATGPAC Training Requirements and Policy Analyst,Sigmadefense,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,San Diego,California,,,,,,2026-06-03,,
