id,title_clean,title_raw,company_name,naics_2022_6,naics_2022_6_name,soc_5,soc_5_name,min_edulevels_name,max_edulevels_name,employment_type_name,remote_type_name,salary,salary_from,salary_to,original_pay_period,city_name,state_name,skills_name,specialized_skills_name,software_skills_name,posted,expired,pay_period_parsed,salary_from_annual,salary_to_annual,salary_midpoint,skills_list,specialized_skills_list,software_skills_list,expired_date,state_name_clean
3658,"Data Analyst, Data & Analytics - Med USMPD","Data Analyst, Data & Analytics - Med USMPD",Cardinal Health,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,,Unknown,"$80,900 - $115,500 a year",80900.0,115500.0,annual,,,"[""Alteryx"", ""Analytics"", ""Automation"", ""Business Analytics"", ""Business Decisions"", ""Business Intelligence"", ""Business Problems"", ""Business Process""]","[""Alteryx"", ""Analytics"", ""Automation"", ""Business Analytics"", ""Business Decisions"", ""Business Intelligence"", ""Business Problems"", ""Business Process""]",[],2026-05-15,,YEAR,80900.0,115500.0,98200.0,"['Alteryx', 'Analytics', 'Automation', 'Business Analytics', 'Business Decisions', 'Business Intelligence', 'Business Problems', 'Business Process']","['Alteryx', 'Analytics', 'Automation', 'Business Analytics', 'Business Decisions', 'Business Intelligence', 'Business Problems', 'Business Process']",[],,
206894,Cybersecurity Supply Chain Risk Management Analyst,Cybersecurity Supply Chain Risk Management Analyst,Maania Consultancy Services,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,Associate's degree,Bachelor's degree,Full Time,Unknown,,,,,DC,United States,"[""Business Expansion""]","[""Business Expansion""]",[],2026-05-27,,,,,,['Business Expansion'],['Business Expansion'],[],,
186542,Human Resources Information System & Records Analyst,Human Resources Information System & Records Analyst,POLK_BoCC_Career Site,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Postsecondary nondegree award,Associate's degree,Full Time,Unknown,$68.8k - $75.7k per year,68800.0,75700.0,annual,FL,United States,"[""Business Administration"", ""Business Systems""]","[""Business Systems""]",[],2026-05-28,,YEAR,68800.0,75700.0,72250.0,"['Business Administration', 'Business Systems']",['Business Systems'],[],,
203891,Senior Program & Risk Analyst,Senior Program & Risk Analyst,StandardAero,611400,Business Schools and Computer and Management Training,41-9012,Models,Associate's degree,Associate's degree,Full Time,Unknown,,,,,TX,United States,"[""Aviation""]","[""Aviation""]",[],2026-05-29,,,,,,['Aviation'],['Aviation'],[],,
436883,"Analyst, Cadence and Prelude - III Epic","Analyst, Cadence and Prelude - III Epic",Hdox.fa.us6.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Postsecondary nondegree award,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Schaumburg,Illinois,"[""Billing""]","[""Billing""]",[],2026-05-29,,,,,,['Billing'],['Billing'],[],,Illinois
432987,"Strategy & Analytics Advisor, C&CE - Evernorth","Strategy & Analytics Advisor, C&CE - Evernorth",Jobs.thecignagroup.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Bachelor's degree,Bachelor's degree,,Remote,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,Remote,"[""Analytics"", ""Business Case""]","[""Analytics"", ""Business Case""]",[],2026-05-30,,,,,,"['Analytics', 'Business Case']","['Analytics', 'Business Case']",[],,
432220,Data Analyst,Data Analyst Internship,Connectprep,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Internship,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boston,Massachusetts,"[""Algorithms"", ""Analytics"", ""Applied Mathematics"", ""Business Intelligence"", ""Business Operations""]","[""Algorithms"", ""Analytics"", ""Applied Mathematics"", ""Business Intelligence"", ""Business Operations""]",[],2026-05-31,,,,,,"['Algorithms', 'Analytics', 'Applied Mathematics', 'Business Intelligence', 'Business Operations']","['Algorithms', 'Analytics', 'Applied Mathematics', 'Business Intelligence', 'Business Operations']",[],,Massachusetts
431832,Lead Data Scientist,Lead Data Scientist,Middesk,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Full Time,Unknown,"USD 210,000 - 250,000 Yearly",210000.0,250000.0,annual,San,Francisco,"[""Automation""]","[""Automation""]",[],2026-05-31,,YEAR,210000.0,250000.0,230000.0,['Automation'],['Automation'],[],,California
428792,"Senior Analyst, Provider Data Management","Senior Analyst, Provider Data Management (SQL/ QNXT)",Hckd.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,"[""Business Administration"", ""Business Analysis"", ""Business Objectives""]","[""Business Analysis""]",[],2026-06-01,,,,,,"['Business Administration', 'Business Analysis', 'Business Objectives']",['Business Analysis'],[],,
428874,Sr Financial Analyst - Operations,Sr Financial Analyst - Operations,Ejql.fa.us6.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,,Hybrid,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,,,,2026-06-01,,,,,,[],[],[],,
431509,Management Analyst III-503678,Management Analyst III-503678,Dnigov,611400,Business Schools and Computer and Management Training,27-2011,Actors,High school diploma or equivalent,Associate's degree,Contract,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,"[""Analytical Skills"", ""Appraisals"", ""Business Administration""]","[""Appraisals""]",[],2026-06-01,,,,,,"['Analytical Skills', 'Appraisals', 'Business Administration']",['Appraisals'],[],,District of Columbia
